
GetOrganelle v1.6.2

get_organelle_from_reads.py assembles organelle genomes from genome skimming data.
Find updates in https://github.com/Kinggerm/GetOrganelle and see README.md for more information.

Python 3.6.5 (default, Sep 20 2018, 17:13:01)  [GCC 4.8.5 20150623 (Red Hat 4.8.5-28)]
Python libs: numpy 1.15.1; sympy 1.3; scipy 1.1.0; psutil 5.4.7
Dependencies: Bowtie2 2.3.5.1; SPAdes 3.13.0; Blast 2.2.30
/data/jinjianjun/.pyenv/versions/3.6.5/bin/get_organelle_from_reads.py -1 SRR4428742_250M_1.fastq -2 SRR4428742_250M_2.fastq -t 1 -J 1 -M 1 -R 1000 -s ../local_seed/NC_011942.1.Gnetum_parvifolium.rbcL.fasta -w 0.75 -o w0.75P0spades-unlimited-rbcL--SRR4428742-plastome -k 35,75 -F embplant_pt -P 0
2019-09-22 18:47:29,187 - INFO: Round 111: 4355099/4355099 AI 161707 AW 814934 Mem 0.234
2019-09-22 18:48:40,741 - INFO: Round 112: 4355099/4355099 AI 161874 AW 816180 Mem 0.235
2019-09-22 18:49:45,323 - INFO: Round 113: 4355099/4355099 AI 162030 AW 817122 Mem 0.235
2019-09-22 18:50:56,347 - INFO: Round 114: 4355099/4355099 AI 162120 AW 817622 Mem 0.235
2019-09-22 18:52:07,449 - INFO: Round 115: 4355099/4355099 AI 162200 AW 818072 Mem 0.235
2019-09-22 18:53:18,711 - INFO: Round 116: 4355099/4355099 AI 162243 AW 818520 Mem 0.235
2019-09-22 18:54:24,328 - INFO: Round 117: 4355099/4355099 AI 162286 AW 818864 Mem 0.235
2019-09-22 18:55:12,416 - INFO: Round 118: 4355099/4355099 AI 162315 AW 819124 Mem 0.235
2019-09-22 18:56:13,856 - INFO: Round 119: 4355099/4355099 AI 162367 AW 819502 Mem 0.235
2019-09-22 18:57:09,962 - INFO: Round 120: 4355099/4355099 AI 162396 AW 819744 Mem 0.235
2019-09-22 18:58:20,963 - INFO: Round 121: 4355099/4355099 AI 162454 AW 820158 Mem 0.235
2019-09-22 18:59:32,476 - INFO: Round 122: 4355099/4355099 AI 162496 AW 820458 Mem 0.235
2019-09-22 19:00:42,173 - INFO: Round 123: 4355099/4355099 AI 162523 AW 820742 Mem 0.235
2019-09-22 19:01:29,586 - INFO: Round 124: 4355099/4355099 AI 162551 AW 821052 Mem 0.235
2019-09-22 19:02:16,005 - INFO: Round 125: 4355099/4355099 AI 162594 AW 821384 Mem 0.235
2019-09-22 19:03:02,785 - INFO: Round 126: 4355099/4355099 AI 162615 AW 821506 Mem 0.235
2019-09-22 19:03:52,254 - INFO: Round 127: 4355099/4355099 AI 162635 AW 821730 Mem 0.235
2019-09-22 19:04:38,985 - INFO: Round 128: 4355099/4355099 AI 162659 AW 821894 Mem 0.235
2019-09-22 19:05:34,787 - INFO: Round 129: 4355099/4355099 AI 162679 AW 822074 Mem 0.235
2019-09-22 19:06:47,728 - INFO: Round 130: 4355099/4355099 AI 162710 AW 822264 Mem 0.235
2019-09-22 19:08:00,855 - INFO: Round 131: 4355099/4355099 AI 162721 AW 822392 Mem 0.235
2019-09-22 19:09:13,652 - INFO: Round 132: 4355099/4355099 AI 162728 AW 822456 Mem 0.235
2019-09-22 19:10:04,311 - INFO: Round 133: 4355099/4355099 AI 162739 AW 822548 Mem 0.235
2019-09-22 19:10:49,336 - INFO: Round 134: 4355099/4355099 AI 162757 AW 822722 Mem 0.235
2019-09-22 19:11:34,001 - INFO: Round 135: 4355099/4355099 AI 162799 AW 823094 Mem 0.235
2019-09-22 19:12:18,993 - INFO: Round 136: 4355099/4355099 AI 162846 AW 823330 Mem 0.235
2019-09-22 19:13:04,561 - INFO: Round 137: 4355099/4355099 AI 162858 AW 823338 Mem 0.235
2019-09-22 19:13:50,826 - INFO: Round 138: 4355099/4355099 AI 162858 AW 823338 Mem 0.235
2019-09-22 19:13:50,827 - INFO: No more reads found and terminated ...
2019-09-22 19:14:06,623 - INFO: Extending finished.

2019-09-22 19:14:07,029 - INFO: Separating filtered fastq file ... 
2019-09-22 19:14:11,418 - INFO: Setting '-k 35,75'
2019-09-22 19:14:11,418 - INFO: Assembling using SPAdes ...
2019-09-22 19:18:45,766 - INFO: Insert size = 154.319, deviation = 11.9509, left quantile = 140, right quantile = 169
2019-09-22 19:18:45,767 - INFO: Assembling finished.

2019-09-22 19:18:45,767 - INFO: Slimming assembly graphs ...
2019-09-22 19:18:47,892 - INFO: Slimming w0.75P0spades-unlimited-rbcL--SRR4428742-plastome/filtered_spades/K75/assembly_graph.fastg finished!
2019-09-22 19:18:47,893 - INFO: Slimming assembly graphs finished

2019-09-22 19:18:47,893 - INFO: Extracting embplant_pt from the assemblies ...
2019-09-22 19:18:47,894 - INFO: Disentangling w0.75P0spades-unlimited-rbcL--SRR4428742-plastome/filtered_spades/K75/assembly_graph.fastg.extend-embplant_pt-embplant_mt.fastg as a circular genome ... 
2019-09-22 19:18:48,719 - INFO: Vertex_52276_52328_50978_52110_52932_13668_52004_49970_52256_52888_52042_52912_52370_4872_52780_52900_51084_52342_52816_52620_52828_52232_52930 #copy = 2
2019-09-22 19:18:48,720 - INFO: Vertex_52376_52510_13996_52858_52406_13410_52148_2078_52918_51044_52906_52210_52810_52516_50502_47954_48756_52132_52072_13348_51004_52864_52026_52468_3234_52924_51532_52882_3274_52712_52176_51618_52718_52424_52688_51498_52852_52600_52786_52804 #copy = 1
2019-09-22 19:18:48,720 - INFO: Vertex_52670_52570 #copy = 1
2019-09-22 19:18:48,720 - INFO: Average embplant_pt kmer-coverage = 97.865
2019-09-22 19:18:48,720 - INFO: Average embplant_pt base-coverage = 376.415
2019-09-22 19:18:48,720 - INFO: Writing output ...
2019-09-22 19:18:48,880 - WARNING: More than one circular genome structure produced ...
2019-09-22 19:18:48,881 - WARNING: Please check the final result to confirm whether they are simply flip-flop configurations!
2019-09-22 19:18:48,885 - INFO: Writing PATH1 of complete embplant_pt to w0.75P0spades-unlimited-rbcL--SRR4428742-plastome/embplant_pt.K75.complete.graph1.1.path_sequence.fasta
2019-09-22 19:18:48,889 - INFO: Writing PATH2 of complete embplant_pt to w0.75P0spades-unlimited-rbcL--SRR4428742-plastome/embplant_pt.K75.complete.graph1.2.path_sequence.fasta
2019-09-22 19:18:48,889 - INFO: Writing GRAPH to w0.75P0spades-unlimited-rbcL--SRR4428742-plastome/embplant_pt.K75.complete.graph1.selected_graph.gfa
2019-09-22 19:18:48,901 - INFO: Result status of embplant_pt: circular genome
2019-09-22 19:18:48,924 - INFO: Please visualize w0.75P0spades-unlimited-rbcL--SRR4428742-plastome/filtered_K75.assembly_graph.fastg.extend-embplant_pt-embplant_mt.fastg using Bandage to confirm the final result.
2019-09-22 19:18:48,924 - INFO: Writing output finished.
2019-09-22 19:18:48,925 - INFO: Extracting embplant_pt from the assemblies finished.


Total cost 7628.72 s
Thank you!
